adm0_name,date,day_of_week,cum_cases,mob_resid
Afghanistan,2020-02-16,6,0,0
Afghanistan,2020-02-17,0,0,-1
Afghanistan,2020-02-18,1,0,-1
Afghanistan,2020-02-19,2,0,1
Afghanistan,2020-02-20,3,0,1
Afghanistan,2020-02-21,4,0,0
Afghanistan,2020-02-22,5,0,0
Afghanistan,2020-02-23,6,0,1
Afghanistan,2020-02-24,0,1,0
Afghanistan,2020-02-25,1,1,0
Afghanistan,2020-02-26,2,1,1
Afghanistan,2020-02-27,3,1,2
Afghanistan,2020-02-28,4,1,2
Afghanistan,2020-02-29,5,1,1
Afghanistan,2020-03-01,6,1,0
Afghanistan,2020-03-02,0,1,-1
Afghanistan,2020-03-03,1,1,0
Afghanistan,2020-03-04,2,1,1
Afghanistan,2020-03-05,3,1,1
Afghanistan,2020-03-06,4,1,1
Afghanistan,2020-03-07,5,1,1
Afghanistan,2020-03-08,6,4,0
Afghanistan,2020-03-09,0,4,6
Afghanistan,2020-03-10,1,5,1
Afghanistan,2020-03-11,2,7,1
Afghanistan,2020-03-12,3,7,1
Afghanistan,2020-03-13,4,7,0
Afghanistan,2020-03-14,5,11,0
Afghanistan,2020-03-15,6,16,0
Afghanistan,2020-03-16,0,21,1
Afghanistan,2020-03-17,1,22,0
Afghanistan,2020-03-18,2,22,1
Afghanistan,2020-03-19,3,22,2
Afghanistan,2020-03-20,4,24,1
Afghanistan,2020-03-21,5,24,6
Afghanistan,2020-03-22,6,40,1
Afghanistan,2020-03-23,0,40,2
Afghanistan,2020-03-24,1,74,3
Afghanistan,2020-03-25,2,84,6
Afghanistan,2020-03-26,3,94,7
Afghanistan,2020-03-27,4,110,5
Afghanistan,2020-03-28,5,110,11
Afghanistan,2020-03-29,6,120,10
Afghanistan,2020-03-30,0,170,11
Afghanistan,2020-03-31,1,174,12
Afghanistan,2020-04-01,2,237,11
Afghanistan,2020-04-02,3,273,13
Afghanistan,2020-04-03,4,281,6
Afghanistan,2020-04-04,5,299,10
Afghanistan,2020-04-05,6,349,12
Afghanistan,2020-04-06,0,367,11
Afghanistan,2020-04-07,1,423,10
Afghanistan,2020-04-08,2,444,14
Afghanistan,2020-04-09,3,484,17
Afghanistan,2020-04-10,4,521,11
Afghanistan,2020-04-11,5,555,16
Afghanistan,2020-04-12,6,607,15
Afghanistan,2020-04-13,0,665,14
Afghanistan,2020-04-14,1,714,15
Afghanistan,2020-04-15,2,784,14
Afghanistan,2020-04-16,3,840,16
Afghanistan,2020-04-17,4,906,11
Afghanistan,2020-04-18,5,933,14
Afghanistan,2020-04-19,6,996,13
Afghanistan,2020-04-20,0,1026,12
Afghanistan,2020-04-21,1,1092,11
Afghanistan,2020-04-22,2,1176,11
Afghanistan,2020-04-23,3,1279,13
Afghanistan,2020-04-24,4,1351,14
Afghanistan,2020-04-25,5,1463,18
Afghanistan,2020-04-26,6,1531,17
Afghanistan,2020-04-27,0,1703,16
Afghanistan,2020-04-28,1,1828,13
Afghanistan,2020-04-29,2,1939,14
Afghanistan,2020-04-30,3,2171,17
Afghanistan,2020-05-01,4,2335,13
Afghanistan,2020-05-02,5,2469,16
Afghanistan,2020-05-03,6,2704,16
Afghanistan,2020-05-04,0,2894,14
Afghanistan,2020-05-05,1,3224,15
Afghanistan,2020-05-06,2,3392,15
Afghanistan,2020-05-07,3,3563,16
Afghanistan,2020-05-08,4,3778,10
Afghanistan,2020-05-09,5,4033,12
Afghanistan,2020-05-10,6,4402,14
Afghanistan,2020-05-11,0,4687,12
Afghanistan,2020-05-12,1,4963,13
Afghanistan,2020-05-13,2,5226,13
Afghanistan,2020-05-14,3,5639,13
Afghanistan,2020-05-15,4,6053,10
Afghanistan,2020-05-16,5,6402,12
Afghanistan,2020-05-17,6,6664,13
Afghanistan,2020-05-18,0,7072,11
Afghanistan,2020-05-19,1,7653,11
Afghanistan,2020-05-20,2,8145,11
Afghanistan,2020-05-21,3,8676,13
Afghanistan,2020-05-22,4,9216,8
Afghanistan,2020-05-23,5,9998,17
Afghanistan,2020-05-24,6,10582,14
Afghanistan,2020-05-25,0,11173,13
Afghanistan,2020-05-26,1,11831,13
Afghanistan,2020-05-27,2,12456,12
Afghanistan,2020-05-28,3,13036,14
Afghanistan,2020-05-29,4,13659,9
Albania,2020-02-16,6,0,
Albania,2020-02-17,0,0,
Albania,2020-02-18,1,0,
Albania,2020-02-19,2,0,
Albania,2020-02-20,3,0,
Albania,2020-02-21,4,0,
Albania,2020-02-22,5,0,
Albania,2020-02-23,6,0,
Albania,2020-02-24,0,0,
Albania,2020-02-25,1,0,
Albania,2020-02-26,2,0,
Albania,2020-02-27,3,0,
Albania,2020-02-28,4,0,
Albania,2020-02-29,5,0,
Albania,2020-03-01,6,0,
Albania,2020-03-02,0,0,
Albania,2020-03-03,1,0,
Albania,2020-03-04,2,0,
Albania,2020-03-05,3,0,
Albania,2020-03-06,4,0,
Albania,2020-03-07,5,0,
Albania,2020-03-08,6,0,
Albania,2020-03-09,0,2,
Albania,2020-03-10,1,10,
Albania,2020-03-11,2,12,
Albania,2020-03-12,3,23,
Albania,2020-03-13,4,33,
Albania,2020-03-14,5,38,
Albania,2020-03-15,6,42,
Albania,2020-03-16,0,51,
Albania,2020-03-17,1,55,
Albania,2020-03-18,2,59,
Albania,2020-03-19,3,64,
Albania,2020-03-20,4,70,
Albania,2020-03-21,5,76,
Albania,2020-03-22,6,89,
Albania,2020-03-23,0,104,
Albania,2020-03-24,1,123,
Albania,2020-03-25,2,146,
Albania,2020-03-26,3,174,
Albania,2020-03-27,4,186,
Albania,2020-03-28,5,197,
Albania,2020-03-29,6,212,
Albania,2020-03-30,0,223,
Albania,2020-03-31,1,243,
Albania,2020-04-01,2,259,
Albania,2020-04-02,3,277,
Albania,2020-04-03,4,304,
Albania,2020-04-04,5,333,
Albania,2020-04-05,6,361,
Albania,2020-04-06,0,377,
Albania,2020-04-07,1,383,
Albania,2020-04-08,2,400,
Albania,2020-04-09,3,409,
Albania,2020-04-10,4,416,
Albania,2020-04-11,5,433,
Albania,2020-04-12,6,446,
Albania,2020-04-13,0,467,
Albania,2020-04-14,1,475,
Albania,2020-04-15,2,494,
Albania,2020-04-16,3,518,
Albania,2020-04-17,4,539,
Albania,2020-04-18,5,548,
Albania,2020-04-19,6,562,
Albania,2020-04-20,0,584,
Albania,2020-04-21,1,609,
Albania,2020-04-22,2,634,
Albania,2020-04-23,3,663,
Albania,2020-04-24,4,678,
Albania,2020-04-25,5,712,
